k1,k2,S(Add^2 k1 k2),R1,R2
1,1,0.9999999964614507,0.0,0.0
1,2,1.000000000122383,0.0,0.5
1,3,0.9999999654030413,0.0,0.7924812503605781
1,4,0.9999999999863315,0.0,1.0
2,1,1.000000000122383,0.5,0.0
2,2,0.9999998992993687,0.5,0.5
2,3,0.9999999998940796,0.5,0.7924812503605781
2,4,0.8749999988692891,0.5,1.0
3,1,0.9999999654030413,0.7924812503605781,0.0
3,2,0.9999999998940796,0.7924812503605781,0.5
3,3,0.8888888882396917,0.7924812503605781,0.7924812503605781
3,4,0.6666666666641401,0.7924812503605781,1.0
4,1,0.9999999999863315,1.0,0.0
4,2,0.8749999988692891,1.0,0.5
4,3,0.6666666666641401,1.0,0.7924812503605781
4,4,0.562499989395504,1.0,1.0
