k1,k2,S(Add^3 k1 k2),R1,R2
1,1,1.000000000693416,0.0,0.0
1,2,0.9999999996326154,0.0,0.3333333333333333
1,3,0.9999999999511826,0.0,0.5283208335737187
1,4,0.9999999963930882,0.0,0.6666666666666666
1,5,0.9999999872898186,0.0,0.7739760316291208
1,6,0.9999999114864129,0.0,0.861654166907052
1,7,0.9999999884817539,0.0,0.9357849740192014
1,8,0.9999999986249087,0.0,1.0
2,1,0.9999999996326154,0.3333333333333333,0.0
2,2,1.0,0.3333333333333333,0.3333333333333333
2,3,1.0,0.3333333333333333,0.5283208335737187
2,4,0.9999999999999998,0.3333333333333333,0.6666666666666666
2,5,1.0,0.3333333333333333,0.7739760316291208
2,6,0.9999999999999999,0.3333333333333333,0.861654166907052
2,7,1.0,0.3333333333333333,0.9357849740192014
2,8,0.9374999999999998,0.3333333333333333,1.0
3,1,0.9999999999511826,0.5283208335737187,0.0
3,2,1.0,0.5283208335737187,0.3333333333333333
3,3,0.9999999999999999,0.5283208335737187,0.5283208335737187
3,4,0.9999999999999997,0.5283208335737187,0.6666666666666666
3,5,0.9999999999999999,0.5283208335737187,0.7739760316291208
3,6,1.0,0.5283208335737187,0.861654166907052
3,7,0.9047619047619044,0.5283208335737187,0.9357849740192014
3,8,0.7916666666666665,0.5283208335737187,1.0
4,1,0.9999999963930882,0.6666666666666666,0.0
4,2,0.9999999999999998,0.6666666666666666,0.3333333333333333
4,3,0.9999999999999997,0.6666666666666666,0.5283208335737187
4,4,0.9999999999999998,0.6666666666666666,0.6666666666666666
4,5,1.0,0.6666666666666666,0.7739760316291208
4,6,0.9226190476190477,0.6666666666666666,0.861654166907052
4,7,0.8080357142857142,0.6666666666666666,0.9357849740192014
4,8,0.71875,0.6666666666666666,1.0
5,1,0.9999999872898186,0.7739760316291208,0.0
5,2,1.0,0.7739760316291208,0.3333333333333333
5,3,0.9999999999999999,0.7739760316291208,0.5283208335737187
5,4,1.0,0.7739760316291208,0.6666666666666666
5,5,0.945,0.7739760316291208,0.7739760316291208
5,6,0.8,0.7739760316291208,0.861654166907052
5,7,0.6857142857142856,0.7739760316291208,0.9357849740192014
5,8,0.5999999999999999,0.7739760316291208,1.0
6,1,0.9999999114864129,0.861654166907052,0.0
6,2,0.9999999999999999,0.861654166907052,0.3333333333333333
6,3,1.0,0.861654166907052,0.5283208335737187
6,4,0.9226190476190477,0.861654166907052,0.6666666666666666
6,5,0.8,0.861654166907052,0.7739760316291208
6,6,0.6944444444444444,0.861654166907052,0.861654166907052
6,7,0.595238095238095,0.861654166907052,0.9357849740192014
6,8,0.5208333333333333,0.861654166907052,1.0
7,1,0.9999999884817539,0.9357849740192014,0.0
7,2,1.0,0.9357849740192014,0.3333333333333333
7,3,0.9047619047619044,0.9357849740192014,0.5283208335737187
7,4,0.8080357142857142,0.9357849740192014,0.6666666666666666
7,5,0.6857142857142856,0.9357849740192014,0.7739760316291208
7,6,0.595238095238095,0.9357849740192014,0.861654166907052
7,7,0.5306122448979591,0.9357849740192014,0.9357849740192014
7,8,0.4642857142857143,0.9357849740192014,1.0
8,1,0.9999999986249087,1.0,0.0
8,2,0.9374999999999998,1.0,0.3333333333333333
8,3,0.7916666666666665,1.0,0.5283208335737187
8,4,0.71875,1.0,0.6666666666666666
8,5,0.5999999999999999,1.0,0.7739760316291208
8,6,0.5208333333333333,1.0,0.861654166907052
8,7,0.4642857142857143,1.0,0.9357849740192014
8,8,0.421875,1.0,1.0
