p,alpha,m1,m2,m3,m4,m5
0.0,1.0,0.6321205588285577,0.7293294335267746,0.7759581923446123,0.8046331851868355,0.8245326302321493
0.05,0.9754115099857197,0.6321205588285577,0.7327995689943801,0.7823288426353291,0.8135113443655912,0.8356341388396311
0.1,0.9516258196404048,0.6321205588285576,0.7364523431708069,0.7890020368247538,0.8227393401762896,0.847060503245707
0.15000000000000002,0.9286134904996145,0.6321205588285577,0.7403025646000134,0.7959891411340152,0.8323017047507958,0.8587452314408417
0.2,0.9063462346100909,0.6321205588285576,0.7443666872197315,0.8033002708745048,0.8421744540563366,0.8706042648563695
0.25,0.8847968677143805,0.6321205588285577,0.7486630454177192,0.8109436998463545,0.8523236201599775,0.8825356272436963
0.30000000000000004,0.8639392643942736,0.6321205588285577,0.7532121305685298,0.8189251143607139,0.8627038112884637,0.8638286927852874
0.35000000000000003,0.8437483150893901,0.6321205588285578,0.7580369178496925,0.8272466801445589,0.8430192481504604,0.8436725536831837
0.4,0.8241998849109017,0.6321205588285577,0.7631632543359277,0.8195737323685286,0.823675174253778,0.8241494904026017
0.45,0.805270774173837,0.6321205588285578,0.7686203222083718,0.801744346154068,0.804903500754338,0.8052383996130826
0.5,0.7869386805747332,0.6321205588285577,0.7642411176571153,0.7843164669249638,0.786689986534483,0.7869187269611921
0.55,0.7691821629445696,0.6321205588285577,0.7510290617742595,0.7672900946812169,0.7690203904765563,0.76917046707052
0.6000000000000001,0.7519806065099559,0.6321205588285577,0.7378170058914038,0.7506652294228268,0.7518804714629006,0.7519741635416807
0.65,0.7353141895984369,0.6321205588285577,0.7246049500085481,0.7344418711497939,0.7352559883758588,0.7353109089523117
0.7000000000000001,0.719163851726558,0.6321205588285577,0.7113928941256922,0.7186200198621178,0.7191327000977739,0.7191623448570754
0.75,0.7035112630119804,0.6321205588285577,0.6981808382428365,0.7031996755597987,0.7034963655109885,0.7035106617876579
0.8,0.688338794853473,0.6321205588285577,0.6849687823599807,0.6881808382428365,0.6883327434978457,0.6883385992527695
0.8500000000000001,0.6736294918250275,0.6321205588285577,0.6717567264771249,0.6735635079112313,0.6736275929406883,0.6736294457381446
0.9,0.6593670447326676,0.6321205588285577,0.6585446705942692,0.6593476845649832,0.6593666727218592,0.659367038706542
0.9500000000000001,0.6455357647847355,0.6321205588285577,0.6453326147114135,0.6455333682040919,0.6455357417237013,0.6455357645977441
1.0,0.6321205588285577,0.6321205588285577,0.6321205588285577,0.6321205588285577,0.6321205588285577,0.6321205588285577
